aeroplane_1920	aeroplane_1930	aeroplane_1940	aeroplane_1950	aeroplane_1960	aeroplane_1970	
curtiss	azores	dennison	tufa	hendrick	tess	
powered	airplane	nor	nicklaus	seemly	marauders	
corp	cockpit	racquet	pittman	puget	corinne	
fokker	goldie	ducky	hum	bridget	finletter	
airports	newfoundland	halevy	idling	doane	post-dispatch	
aeroplanes	ord	missioner	dayton	gilman	albatross	
wright	shumann	sketchy	cunt	papermaking	blanshard	
vickers	non-stop	conner	roughest	zambo	farrar	
airplane	handball	refine	oldsmobile	muncie	holyoke	

automobile_1920	automobile_1930	automobile_1940	automobile_1950	automobile_1960	automobile_1970	
motor	auto	auto	auto	auto	auto	
car	car	cars	car	car	insurance	
cars	cars	car	automobiles	cars	automobiles	
automobiles	motor	automobiles	cars	motor	cars	
auto	automobiles	airplane	autos	tires	benvenuto	
truck	accidents	motors	motor	automobiles	accident	
engine	vehicle	engines	truck	motors	automotive	
tires	manufacturers	automotive	chevrolet	fenders	motor	
tire	motors	motor	motorists	autos	car	

bank_1920	bank_1930	bank_1940	bank_1950	bank_1960	bank_1970	
banks	banks	banks	banks	banks	banks	
reserve	reserve	savings	savings	savings	savings	
trust	trust	loans	loan	loans	loan	
loans	depositors	depositors	mortgage	loan	west	
deposit	collateral	export-import	export-import	mortgage	gaza	
national	loan	deposits	loans	depositors	calhoun	
savings	loans	cash	trust	deposit	jordan	
federal	savings	reserve	bankers	trust	loans	
deposits	mortgage	deposit	drive-in	hank	guaranty	

camera_1920	camera_1930	camera_1940	camera_1950	camera_1960	camera_1970	
bt	pans	pans	pans	shot	brewster	
sht	cs	mcs	mcs	angle	pans	
med	blackie	cs	left	moves	kimberly	
cu	mcs	reacts	reacts	panning	angle	
kali	ms	left	right	pans	shot	
kelly	mcu	dinah	cs	bergdorf	lens	
moves	speaks	hannah	ms	melanie	panning	
coughdrops	mullin	ms	shooting	close	cameras	
jan	bg	amanda	speaks	closeup	closeup	

car_1920	car_1930	car_1940	car_1950	car_1960	car_1970	
cars	cars	cars	cars	cars	cars	
motor	limousine	parked	parked	truck	truck	
automobile	parked	buick	truck	jeep	parked	
ford	automobile	truck	cadillac	roadster	buell	
train	cadillac	jeep	valerian	cadillac	taxi	
truck	sedan	sedan	limousine	sedan	sedan	
chevrolet	train	taxi	cab	parked	clayton	
limousine	cab	automobile	automobile	coupe	motorcycle	
touring	truck	coupe	thornhill	limousine	swerved	

